uno	uname	uid	upw	unick	ugender	ubirth	ugrade	udetail
1	한리온	tjdtlf01	wjdwlr01!	리온핑	1	2007-11-07	하나고등학교	밝고 성실한 성격으로 빠르게 배우며 맡은 일에 최선을 다하겠습니다. 항상 긍정적인 마인드로 일하겠습니다.  
2	박영원	tjdtlf02	wjdwlr02!	영원이왔어요  	2	2002-03-12	서연대학교  	책임감 있고 성실한 자세로 일을 맡고 배워가겠습니다. 함께 일하는 사람들과 잘 어울리겠습니다.  
3	정도재	tjdtlf03	wjdwlr03!	도재는지금일함  	1	1997-04-15	시티국제대학교	친절하고 밝은 성격으로 고객 응대에 자신 있습니다. 성실하게 일을 배우고 빠르게 적응하겠습니다.  
4	송은찬	tjdtlf04	wjdwlr04!	은찬이알바중  	1	1991-01-07	한빚대학교	꼼꼼하고 책임감 있는 성격으로 맡은 일에 최선을 다하겠습니다. 열심히 배우고 성장하겠습니다.  
5	이서연  	tjdtlf05	wjdwlr05!	서연이는바쁨  	2	1989-10-29	동림과학대학교  	빠르게 배우고 적응하는 타입입니다. 항상 긍정적인 태도로 일하며 팀워크를 중요시합니다.  
6	박지후  	tjdtlf06	wjdwlr06!	지후는커피중독  	1	2007-02-02	하이테크고등학교	성실하고 책임감 있는 자세로 일을 배우며 성장할 수 있도록 노력하겠습니다. 함께 일하며 즐겁게 일하겠습니다.  
7	최지우  	tjdtlf07	wjdwlr07!	지우는고양이집사  	2	1994-12-20	가람예술대학교  	꼼꼼하게 일을 처리하며, 사람들과 잘 어울리는 성격입니다. 최선을 다해 맡은 바 책임지겠습니다.  
8	정하늘  	tjdtlf08	wjdwlr08!	하늘아안녕  	1	1986-06-24	이레융합대학교  	친절하고 적극적인 태도로 일을 맡기시면 빠르게 처리하겠습니다. 함께하는 사람들과 협력하며 일하겠습니다.  
9	유진우  	tjdtlf09	wjdwlr09!	진우왔썹  	1	1996-08-01	광명인문대학교  	성실하고 책임감 있게 일하며, 맡은 업무에 최선을 다하겠습니다. 잘 부탁드립니다.  
10	한지민  	tjdtlf10	wjdwlr10!	지민이라니까요  	2	2005-11-13	청운대학교  	밝고 활발한 성격으로 언제나 긍정적인 마인드로 일하겠습니다. 빠르게 배우고 성장하는 모습 보여드리겠습니다.  
11	서지호  	tjdtlf11	wjdwlr11!	지호는달려  	1	2000-07-28	한누리과학대학교  	성실하게 최선을 다하고, 배우는 것을 즐깁니다. 함께 일하는 분들과 좋은 분위기를 만들어 가겠습니다.  
12	장하윤  	tjdtlf12	wjdwlr12!	하윤이모드ON  	2	1993-10-12	태림대학교  	항상 성실하게 일하며 맡은 일을 책임감 있게 수행합니다. 긍정적인 태도로 항상 노력하겠습니다.  
13	오수빈  	tjdtlf13	wjdwlr13!	수빈이살려  	2	1988-05-30	창조디지털대학교  	손님을 위한 친절한 응대와 빠른 일처리를 자랑합니다. 일하면서 배우고 적극적으로 성장할 것입니다.  
14	배지현  	tjdtlf14	wjdwlr14!	지현누나바쁨  	2	2003-03-04	한울대학교  	다양한 경험을 통해 빠르게 배우고, 사람들과 협력하는 것을 좋아합니다. 맡은 일에 최선을 다하겠습니다.  
15	강도윤  	tjdtlf15	wjdwlr15!	도윤아밥먹어  	1	1995-07-05	정현국제대학교  	일을 맡기시면 성실하고 책임감 있게 수행하겠습니다. 항상 웃는 얼굴로 즐겁게 일하겠습니다.  
16	문채원  	tjdtlf16	wjdwlr16!	채원이의하루  	2	2006-01-19	푸른솔대학교  	빠르게 배우고 성장하는 타입입니다. 항상 긍정적인 태도로 동료들과 협력하여 일하겠습니다.  
17	윤예준  	tjdtlf17	wjdwlr17!	예준이출근중  	1	1999-09-21	세림과학대학교  	항상 정해진 업무에 최선을 다하며, 작은 일도 소홀히 하지 않습니다. 빠르게 적응하겠습니다.  
18	조서윤  	tjdtlf18	wjdwlr18!	서윤은진지해  	2	1987-04-10	광주예술대학교  	적극적이고 긍정적인 성격으로 일에 빠르게 적응하며, 맡은 일을 책임감 있게 해내겠습니다.  
19	임다인  	tjdtlf19	wjdwlr19!	다인무한체력  	2	1985-12-05	하람대학교  	일에 대한 책임감이 강하고, 팀워크를 중요하게 생각합니다. 맡은 바 열심히 하겠습니다.  
20	홍승우  	tjdtlf20	wjdwlr20!	승우가쏜다  	1	2004-06-18	백호대학교  	성실하고 책임감 있게 일하며, 적극적으로 배우는 자세로 일을 임하겠습니다. 함께 좋은 분위기 만들겠습니다.  
21	전지훈  	tjdtlf21	wjdwlr21!	지훈이피곤해  	1	1990-03-26	정문대학교  	일을 맡기시면 항상 성실히 노력하여 맡은 바 최선을 다하겠습니다. 팀워크를 중시합니다.  
22	권민재  	tjdtlf22	wjdwlr22!	민재오늘휴무  	1	1998-12-03	명지상업대학교  	성실하고 책임감 있는 자세로 맡은 일에 최선을 다하며, 빠르게 배우고 성장하겠습니다.  
23	송지아  	tjdtlf23	wjdwlr23!	지아의시간  	2	2001-05-09	빛가온대학교  	끊임없이 배우고 성장하는 자세로 맡은 업무에 책임감을 가지고 최선을 다하겠습니다.  
24	하정우  	tjdtlf24	wjdwlr24!	정우출근길  	1	1986-10-17	해솔정보대학교  	친절하고 유연한 태도로 빠르게 적응하며, 맡은 일에 최선을 다하겠습니다.  
25	신예린  	tjdtlf25	wjdwlr25!	예린이왔지롱  	2	1994-01-11	태성기술대학교  	책임감 있게 일을 마무리하며, 동료들과의 협력으로 좋은 결과를 만들어 가겠습니다.  
26	백서우  	tjdtlf26	wjdwlr26!	서우는요정  	2	2009-03-29	동서고등학교	언제나 책임감을 가지고 성실히 일하며, 어려운 일도 긍정적인 마인드로 해결하겠습니다.  
27	노유진  	tjdtlf27	wjdwlr27!	유진엄근진  	2	2008-07-07	예담과학고등학교	빠르게 배우고, 맡은 일을 정확하고 책임감 있게 하겠습니다. 팀원들과 함께 즐겁게 일하겠습니다.  
28	류지호  	tjdtlf28	wjdwlr28!	지호또출근  	1	1992-11-28	다온대학교  	적극적이고 성실한 자세로 일에 빠르게 적응하며, 맡은 업무에 최선을 다하겠습니다.  
29	금하늘  	tjdtlf29	wjdwlr29!	하늘은맑음  	1	1995-03-15	세움문화대학교  	저는 성실하고 책임감 있게 일을 합니다. 배우는 것을 즐기며 빠르게 적응하겠습니다.  
30	황도현  	tjdtlf30	wjdwlr30!	도현은노동중  	1	1987-11-23	정우디지털대학교  	긍정적이고 활발한 성격으로 동료들과 협력하여 일하며, 맡은 일에 최선을 다하겠습니다.  
31	표지민  	tjdtlf31	wjdwlr31!	지민이반함  	2	2002-01-26	유림대학교	항상 성실하고 적극적인 자세로 업무에 임하며, 맡은 일을 책임감 있게 처리하겠습니다.  
32	남지후  	tjdtlf32	wjdwlr32!	남지후출동  	1	1985-07-17	대현기술대학교  	빠르게 배우고 적극적으로 일하며, 동료들과 협력하여 즐겁게 일하겠습니다.  
33	양세린  	tjdtlf33	wjdwlr33!	세린이존버중  	1	1996-12-09	솔빛공학대학교  	다양한 업무를 맡아도 성실히 처리하며, 배우는 데 열정을 가지고 항상 노력하겠습니다.  
34	고윤재  	tjdtlf34	wjdwlr34!	윤재너답지않아  	1	1998-04-27	청명경영대학교  	책임감 있는 성격으로 맡은 일을 정확하고 성실하게 처리하겠습니다. 빠르게 배우고 성장하겠습니다.  
35	맹서연  	tjdtlf35	wjdwlr35!	서연맘대로  	2	1989-02-08	하늘정보대학교  	매사에 성실하고 책임감 있게 임하며, 사람들과 협력하여 맡은 일을 잘 처리하겠습니다.  
36	심현우  	tjdtlf36	wjdwlr36!	현우_야근중  	1	2003-11-01	루체미디어대학교  	어떤 일이든 책임감 있게 해내며, 빠르게 배우고 성장하겠습니다. 팀워크를 중요시합니다.  
37	구하은  	tjdtlf37	wjdwlr37!	하은이조용함  	2	2001-08-23	정림예술대학교  	언제나 긍정적인 태도로 일하며, 맡은 업무에 최선을 다하고 빠르게 적응하겠습니다.  
38	진지우  	tjdtlf38	wjdwlr38!	지우무한알바  	1	1993-02-05	여명디지털대학교  	다양한 경험을 쌓으며 빠르게 배우고, 동료들과 협력하여 맡은 일을 책임감 있게 처리하겠습니다.  
39	안나윤  	tjdtlf39	wjdwlr39!	나윤이굴러감  	2	1990-09-10	온새미로대학교  	성실하고 책임감 있게 맡은 일을 처리하며, 적극적으로 배우고 성장하겠습니다.  
40	탁시우  	tjdtlf40	wjdwlr40!	시우는말없음  	1	2007-10-21	한별고등학교	밝고 활발한 성격으로 빠르게 적응하며, 맡은 일을 책임감 있게 처리하겠습니다.  
41	곽예진  	tjdtlf41	wjdwlr41!	예진이배고파  	2	1986-02-01	태평대학교  	동료들과 협력하여 팀워크를 이루고, 맡은 업무에 책임감을 가지고 성실하게 임하겠습니다.  
42	성준호  	tjdtlf42	wjdwlr42!	준호일개미  	1	1991-07-06	대양기술대학교  	업무를 정확하게 처리하며, 성실하고 책임감 있게 일을 수행하겠습니다. 항상 긍정적인 자세로 일하겠습니다.  
43	기지민  	tjdtlf43	wjdwlr43!	지민아정신차려  	1	1997-12-29	고운예술대학교  	빠르게 배우고, 적극적인 자세로 업무에 임하며, 동료들과 잘 협력하겠습니다.  
44	배하늘  	tjdtlf44	wjdwlr44!	하늘계좌좀  	2	1988-08-17	정담대학교  	책임감을 가지고 성실하게 일을 처리하겠습니다. 맡은 바 최선을 다하겠습니다.  
