dno	name	title	day	hno	cno
1	김도현	각종 감염병의 예방과 치료를 전문적으로 지원합니다.	월,수,금 오전	1	1
2	이하율	정확한 진단을 통해 최상의 치료 계획을 세워 환자에게 최적의 치료를 제공합니다.	화,목 오후	26	3
3	김우혁	알레르기 질환 및 면역 관련 문제를 해결하는 전문 진료를 제공합니다.	월,화,수 오전	9	1
4	최은찬	정신 건강을 위한 종합적인 상담과 치료로 일상적인 스트레스 관리에 도움을 줍니다.	화,수,목 오후	24	4
5	정태윤	정확한 진단과 신속한 수술로 빠른 회복을 돕습니다.	수,금 오전	10	5
6	한주원	각종 뇌 질환과 신경계 질환의 진단 및 치료를 전문으로 합니다.	월,목 오후	5	6
7	조서하	건강한 출산을 위한 맞춤형 산부인과 전문 진료를 제공합니다.	화,금 오전	17	7
8	장하린	배변 및 소화기 문제에 특화된 치료를 전문으로 합니다.	수,목,금 오후	8	1
9	서민재	종합 건강 검진을 통해 질병 예방 및 조기 발견을 지원합니다.	월,수 오후	12	9
10	윤승민	심혈관 질환 예방과 관리, 수술 후 회복을 위한 전문적인 진료를 제공합니다.	월,금 오전	18	10
11	오채은	소아 감염 및 예방접종 상담을 전문으로 합니다.	화,목 오전	2	3
12	강지안	체중 관리 및 비만 치료를 위한 맞춤형 프로그램을 제공합니다.	월,화 오후	13	12
13	송수현	환자 개개인에게 맞춤형 치료를 통해 통증을 완화하고 건강을 회복시킵니다.	화,수 오전	23	13
14	홍예린	각종 신경학적 증상의 예방과 치료에 대한 전문적인 접근을 합니다.	수,목 오전	15	14
15	전지환	알레르기 질환에 대한 체계적인 치료로 면역력을 향상시킵니다.	목,금 오후	33	15
16	문윤서	식습관과 생활습관을 개선하여 소화기 건강을 지원합니다.	월,목,금 오전	9	16
17	유민혁	체계적인 관리로 만성질환을 예방하고 건강을 지속적으로 유지합니다.	화,금 오후	25	17
18	노예지	응급 상황에서 신속하게 치료하여 생명과 건강을 지켜드립니다.	월,수,목 오전	23	18
19	백현아	환자 개개인의 증상에 맞춘 맞춤형 진료로 빠른 회복을 지원합니다.	월,화,수 오후	28	19
20	신서윤	유방의 양성 및 악성 질환에 대한 정확한 진단과 전문적인 치료를 제공합니다.	수,금 오후	32	20
21	권우진	심장 질환에 특화된 전문적인 진료와 치료를 제공합니다.	월,화,목 오전	11	21
22	남예나	정신적, 감정적 건강을 위한 심리 상담 및 치료 서비스를 제공합니다.	화,수,금 오전	13	22
23	임유림	미용과 기능을 고려한 성형 수술을 진행하는 병원입니다.	화,목,금 오후	11	23
24	심이준	피로 회복을 위한 맞춤형 치료 및 관리 프로그램을 제공합니다.	월,수,금 오후	14	24
25	양소율	심리적 안정과 치료를 병행하여 정신적, 신체적 회복을 돕습니다.	화,금 오전	27	25
26	곽유하	관절, 척추질환의 정확한 진단과 전문 치료를 제공합니다.	월,화 오전	3	1
27	구성윤	정확한 혈액 검사 및 진단을 통해 질병을 조기에 발견하고 예방합니다.	수,목,금 오전	28	27
28	라마준	스포츠 손상 및 재활 치료에 특화된 정형외과 진료를 진행합니다.	월,화,금 오후	4	7
29	표지호	간 및 담도 질환의 치료와 관리에 있어 최상의 치료를 제공합니다.	화,수 오후	20	29
30	마다인	정신 건강과 스트레스 관리를 돕는 심리 상담 및 치료를 제공합니다.	월,목 오전	4	11
31	석채아	폐 및 호흡기 질환의 예방과 치료를 위한 맞춤형 진료를 합니다.	화,수,금 오후	7	9
32	하세영	유방암의 조기 발견을 위한 검진과 환자 맞춤형 치료 계획을 수립합니다.	월,수 오전	32	32
33	변민서	고혈압, 당뇨 등 만성질환 관리를 전문으로 합니다.	화,목 오후	1	5
34	설나윤	심리 상담을 통해 스트레스 관리와 정신 건강 회복을 돕습니다.	수,금 오전	16	34
35	모하영	소화기 질환에 대한 깊이 있는 지식과 치료 방법을 제공하여 빠른 회복을 돕습니다.	월,화 오후	30	35
36	위은채	아이들의 성장과 발달을 고려한 맞춤형 진료를 제공합니다.	수,목 오후	2	5
37	조태희	간과 담도 질환에 대한 예방과 치료를 전문적으로 진행합니다.	화,금 오전	9	37
38	송준호	심장 질환과 혈관 질환의 예방, 치료 및 관리에 특화된 진료를 제공합니다.	월,수,목 오후	7	11
39	황예솔	환자 중심의 진료를 제공하며, 건강한 삶을 위한 맞춤형 치료를 합니다.	화,목 오전	14	39
40	금하율	산전, 산후 진료를 체계적으로 관리하여 안전한 출산을 돕습니다.	월,금 오후	3	2
41	안예원	정확한 진단을 내리고 치료를 제공합니다.	화,수 오전	29	41
42	민유진	다양한 종양 및 혈액질환의 치료와 예방을 위한 전문적인 진료를 제공합니다.	수,금 오후	21	42
43	서주하	정신 건강과 뇌 건강을 위한 전문적인 진단과 치료를 제공합니다.	월,화,수 오전	18	43
44	여민혁	알레르기와 면역 질환에 대한 전문가로서 효과적인 치료를 제공합니다.	화,목,금 오전	20	44
45	노수아	종합적인 건강 검진과 예방접종으로 환자의 건강을 관리합니다.	월,수 오후	27	45
46	장성민	각종 내분비 질환을 예방하고 치료하는 전문적인 진료를 제공합니다.	화,금 오후	8	2
47	우서영	정확한 진단을 바탕으로 효율적인 치료와 관리 계획을 제공합니다.	월,목,금 오후	15	47
48	도수진	재활 치료를 통해 환자의 기능을 회복하고 삶의 질을 향상시킵니다.	화,수,목 오전	29	48
49	천세진	운동 및 물리 치료를 통해 빠른 회복을 돕고, 통증을 완화합니다.	월,금 오전	18	49
50	탁현서	정확한 진단을 통해 각종 질환의 조기 발견과 치료를 지원합니다.	화,목 오후	22	50
51	편지유	최첨단 장비와 기술로 장기 이식 수술을 성공적으로 수행합니다.	월,수,금 오전	10	1
52	명수빈	정신 건강을 위한 심리 상담 및 치료 서비스를 제공합니다.	화,목,금 오후	13	2
53	정준서	미용 및 피부 건강에 관한 전문적인 진료와 치료를 제공합니다.	화,수 오후	34	3
54	고혜린	대장, 위, 간 등의 질환을 예방하고 치료하는 전문적인 진료를 제공합니다.	월,수 오전	19	4
55	방태현	여러 가지 통증 치료 방법을 통해 환자들의 삶의 질을 향상시킵니다.	수,금 오후	12	5
56	남다은	적극적인 예방접종과 건강 관리로 아이들의 건강을 지켜드립니다.	화,금 오전	16	6
57	추은우	척추, 관절, 근육의 건강을 위한 체계적인 치료와 재활을 지원합니다.	월,화,목	15	7
58	구하준	건강을 위한 종합적인 예방 및 치료 프로그램을 지원합니다.	월,수,금 오전	13	8
59	육지원	소화불량, 위염 등 다양한 소화기 질환에 대해 체계적인 진료를 합니다.	화,목 오후	19	9
60	채서진	환자의 급성 및 만성 질환을 신속하고 정확하게 치료하는 응급 진료를 제공합니다.	월,화,수 오전	21	10
61	설승우	척추와 관절 질환에 대한 전문적인 진단과 치료를 제공합니다.	화,수,목 오후	11	11
62	현윤호	수술 후 회복을 돕는 물리치료 및 운동치료를 제공합니다.	수,금 오전	6	1
63	위소민	상담과 치료를 통해 정신적 건강을 돌보는 전문적인 진료를 합니다.	월,목 오후	4	18
64	심의혁	다양한 내과 질환을 세심하게 진료하며 환자 맞춤형 치료를 제공합니다.	화,금 오전	1	7
65	정채원	건강한 소화기를 위한 맞춤형 치료와 예방을 제공합니다.	수,목,금 오후	19	15
66	하준혁	최첨단의 진단과 치료 기술을 통해 환자의 상태를 세밀하게 살펴봅니다.	월,수 오후	25	16
67	염지아	소화기 질환에 대한 정확한 진단과 맞춤형 치료를 제공합니다.	월,금 오전	8	5
68	표예진	여성의 생애주기 전반에 걸쳐 필요한 다양한 의료 서비스를 제공합니다.	화,목 오전	25	18
69	남채린	각종 재활 치료와 운동 프로그램을 통해 회복을 돕습니다.	월,화 오후	14	19
70	서은서	전문적인 감염 질환 치료를 통해 빠른 회복을 돕습니다.	화,수 오전	21	20
71	공승현	의료 영상과 진단 검사를 통해 질병을 빠르게 확인하고 치료합니다.	수,목 오전	5	13
72	천소연	최첨단 장비를 통해 정확한 진단을 내리고 치료를 제공합니다.	목,금 오후	29	22
73	하가은	척추와 관절 질환에 대한 전문적인 진단과 치료를 제공합니다.	월,목,금 오전	11	23
74	방시우	환자 개개인에게 맞춤형 치료를 통해 통증을 완화하고 건강을 회복시킵니다.	화,금 오후	23	24
75	추지율	여성 건강 검진과 부인과 질환 치료를 전문으로 합니다.	월,수,목 오전	3	14
76	권서은	최첨단 장비를 통해 정확한 진단과 치료를 제공합니다.	월,화,수 오후	24	26
77	이도훈	전문적인 재활 치료와 맞춤형 운동 프로그램을 제공합니다.	수,금 오후	5	20
78	김나예	기억력 저하 및 치매 예방을 위한 체계적인 진료와 관리 계획을 제공합니다.	월,화,목 오전	23	28
79	백지안	비만, 체중 조절 문제를 해결하는 맞춤형 다이어트 프로그램을 지원합니다.	화,수,금 오전	22	29
80	안지우	심장 질환의 예방, 진단, 치료에 있어 최고 수준의 전문 지식을 제공합니다.	화,목,금 오후	31	30
81	모태현	외상 및 급성질환 치료에 특화된 외과 전문진이 진료합니다.	월,수,금 오후	2	9
82	윤하은	심리 상담을 통해 스트레스 및 감정적 문제를 해결하고 마음의 안정감을 제공합니다.	화,금 오전	28	32
83	노수진	각종 외상 및 사고 후 빠른 회복을 위해 정밀한 재활 치료를 지원합니다.	월,화 오전	27	33
84	유진우	약물과 수술을 통한 다양한 질환 치료를 전문으로 합니다.	수,목,금 오전	6	4
85	장예슬	치매 및 기억력 장애에 대한 진단과 치료를 전문으로 합니다.	월,화,금 오후	12	35
86	문선우	호흡기 질환 예방과 치료를 위한 맞춤형 치료를 제공합니다.	화,수 오후	20	36
87	고지민	유방의 멍울, 통증, 분비물 등 다양한 증상에 대한 세심한 진료를 진행합니다.	월,목 오전	32	37
88	손채린	위염, 소화불량 등 소화기 질환에 대한 전문가적 접근과 맞춤형 치료를 제공합니다.	화,수,금 오후	33	38
89	강수아	건강한 삶을 위한 영양 상담과 맞춤형 식단을 제공합니다.	월,수 오전	30	39
90	방윤재	모든 연령대의 소아환자를 위한 맞춤형 치료 서비스를 제공합니다.	화,목 오후	16	40
91	라은수	고급 의료 장비와 기술로 정밀한 진단과 치료를 제공합니다.	수,금 오전	24	41
92	정서윤	진단을 정확히 하고, 전문적인 치료로 빠른 회복을 지원합니다.	월,화 오후	6	22
93	허하온	관절염, 척추 질환 및 기타 근골격계 질환의 치료를 전문으로 합니다.	수,목 오후	31	43
94	임도윤	체계적인 관리와 예방 프로그램으로 질병의 재발을 방지하고 건강을 유지합니다.	화,금 오전	26	44
95	오예나	신경과 정신 건강을 위한 종합적인 치료와 상담 서비스를 제공합니다.	월,수,목 오후	31	45
96	최은빈	알레르기 질환 및 면역 관련 문제를 해결하는 전문 진료를 제공합니다.	화,목 오전	9	46
