uno	name	gender	date	job	id	pw	place	x	y	personal	hobby	style
1	김민서	2	2001-01-31	마케터	user01	user01!	후암동	427	358	4	4	2
2	이승현	1	2000-04-29	의사	user02	user02!	후암동	253	244	2	2	2
3	김민지	2	1992-03-01	간호사	user03	user03!	청파동  	515	539	3	3	3
4	이서준	1	1997-02-05	항공 승무원	user04	user04!	후암동  	409	547	4	4	4
5	박하늘	2	1994-04-30	배우	user05	user05!	신수동  	689	242	5	5	5
6	최지후	2	2001-09-20	필라테스 강사	user06	user06!	공덕동  	427	358	6	6	6
7	정다은	2	1996-05-07	요리사	user07	user07!	아현동  	520	634	7	7	7
8	한예준	1	1990-10-26	카페 매니저	user08	user08!	후암동	232	488	8	8	8
9	유가은	2	1999-04-27	프로그래머	user09	user09!	공덕동  	129	642	9	9	9
10	장하람	2	1998-08-06	바리스타	user10	user10!	신수동  	371	173	10	10	10
11	서서윤	2	2002-11-03	물리치료사	user11	user11!	후암동  	579	392	1	1	1
12	조도윤	1	1993-12-08	인테리어 디자이너	user12	user12!	청파동  	463	207	2	2	2
13	윤윤아	2	1991-12-12	초등학교 교사	user13	user13!	아현동  	503	273	3	3	3
14	남재윤	1	2000-09-02	영화 감독	user14	user14!	공덕동  	398	213	4	4	4
15	오수아	2	1997-05-17	도서관 사서	user15	user15!	청파동  	655	460	5	5	5
16	홍시우	1	1996-08-29	아나운서	user16	user16!	신수동  	638	540	7	8	5
17	임유진	2	1992-05-13	경찰관	user17	user17!	후암동  	325	682	7	7	7
18	문민재	1	1999-09-09	소방관	user18	user18!	아현동  	209	672	8	8	8
19	백하은	2	1994-04-10	제품 디자이너	user19	user19!	신수동  	105	676	9	9	9
20	송은호	1	1995-11-21	운전기사	user20	user20!	공덕동  	503	511	10	10	10
21	권지원	1	2001-10-27	헤어 디자이너	user21	user21!	아현동  	370	254	1	1	1
22	안건우	1	1990-03-17	운동 트레이너	user22	user22!	청파동  	440	659	2	2	2
23	강나래	2	2002-01-03	영양사	user23	user23!	신수동  	553	387	3	3	3
24	노지안	1	1998-03-29	수의사	user24	user24!	후암동  	296	368	4	4	4
25	양채원	2	1997-10-16	플로리스트	user25	user25!	공덕동  	678	324	5	5	5
26	표태윤	1	1993-10-01	게임 기획자	user26	user26!	아현동  	529	352	6	6	6
27	전하린	2	1996-07-29	IT 컨설턴트	user27	user27!	청파동  	167	453	7	7	7
28	심승현	1	1995-08-22	광고 기획자	user28	user28!	후암동  	90	192	8	8	8
29	류유나	2	2000-04-28	중학교 교사	user29	user29!	공덕동  	254	598	9	9	9
30	위현우	1	1991-06-11	앱 개발자	user30	user30!	신수동  	466	598	10	10	10
31	하세아	2	1999-03-10	피아노 강사	user31	user31!	아현동  	490	498	1	1	1
32	구시현	1	1992-02-10	사진작가	user32	user32!	청파동  	245	672	2	2	2
33	배다빈	2	1998-04-23	뷰티 크리에이터	user33	user33!	후암동  	476	600	3	3	3
34	설준호	1	1994-08-12	영상 편집자	user34	user34!	신수동  	382	318	4	4	4
